Country_name,Regional_indicator,year,Logged_GDP_per_capita,Social_support,Healthy_life_expectancy,Freedom_to_make_life_choices,Generosity,Perceptions_of_corruption
Nepal,South Asia,2011,7.797,0.741,59.4,0.525,-0.01,0.935
Germany,Western Europe,2019,10.893,0.886,72.5,0.885,0.057,0.462
Guatemala,Latin America and Caribbean,2021,9.053,0.813,64.958,0.906,-0.038,0.775
Serbia,Central and Eastern Europe,2018,9.762,0.853,68.2,0.74,-0.1,0.864
Turkey,Middle East and North Africa,2009,9.838,0.755,64.04,0.456,-0.227,0.853
Indonesia,Southeast Asia,2010,9.022,0.816,60.4,0.7,0.448,0.954
Iceland,Western Europe,2016,10.904,0.985,73.0,0.952,0.281,0.719
Norway,Western Europe,2016,11.035,0.96,73.0,0.954,0.133,0.41
Uruguay,Latin America and Caribbean,2018,9.98,0.917,69.0,0.876,-0.097,0.683
Burkina Faso,Sub-Saharan Africa,2016,7.596,0.764,52.9,0.645,-0.001,0.721
Spain,Western Europe,2013,10.476,0.929,73.26,0.759,-0.101,0.916
Senegal,Sub-Saharan Africa,2021,8.118,0.71,59.802,0.695,-0.046,0.801
Cameroon,Sub-Saharan Africa,2018,8.19,0.677,52.7,0.816,0.036,0.884
Italy,Western Europe,2007,10.727,0.912,72.26,0.684,0.113,0.922
Guinea,Sub-Saharan Africa,2019,7.849,0.655,55.5,0.691,0.097,0.756
Iran,Middle East and North Africa,2012,9.458,0.6,64.38,0.764,0.15683333333333332,0.678
Tunisia,Middle East and North Africa,2010,9.222,0.863,65.1,0.624,-0.135,0.732
France,Western Europe,2010,10.654,0.943,72.2,0.85,-0.104,0.623
Benin,Sub-Saharan Africa,2006,7.866,0.445,50.1,0.58,-0.011,0.79
Denmark,Western Europe,2021,10.933,0.954,72.7,0.946,0.03,0.179
Tunisia,Middle East and North Africa,2015,9.261,0.609,66.0,0.711,-0.226,0.815
Kosovo,Central and Eastern Europe,2009,9.008,0.83,69.65,0.506,0.201,0.968
Gabon,Sub-Saharan Africa,2014,9.644,0.829,57.52,0.607,-0.198,0.782
Nicaragua,Latin America and Caribbean,2019,8.595,0.874,67.8,0.883,0.029,0.622
Philippines,Southeast Asia,2006,8.562,0.795,59.8,0.828,0.063,0.841
Uzbekistan,Commonwealth of Independent States,2019,8.853,0.915,65.4,0.97,0.304,0.511
Lithuania,Central and Eastern Europe,2009,10.05,0.933,64.16,0.496,-0.303,0.979
Brazil,Latin America and Caribbean,2005,9.438,0.883,63.3,0.882,-0.0632,0.745
Zambia,Sub-Saharan Africa,2019,8.155,0.638,55.8,0.811,0.077,0.832
Spain,Western Europe,2019,10.618,0.949,74.7,0.778,-0.049,0.73
Ukraine,Commonwealth of Independent States,2013,9.438,0.897,63.1,0.569,-0.216,0.937
Peru,Latin America and Caribbean,2013,9.369,0.797,66.84,0.703,-0.066,0.87
Honduras,Latin America and Caribbean,2010,8.49,0.803,65.5,0.646,0.105,0.82
Serbia,Central and Eastern Europe,2010,9.579,0.726,66.2,0.463,-0.17,0.965
Ireland,Western Europe,2017,11.266,0.943,72.2,0.905,0.216,0.337
Nicaragua,Latin America and Caribbean,2008,8.454,0.857,64.82,0.791,0.076,0.819
Germany,Western Europe,2016,10.858,0.906,71.6,0.871,0.148,0.446
United Kingdom,Western Europe,2021,10.707,0.934,72.5,0.859,0.233,0.459
Slovakia,Central and Eastern Europe,2017,10.339,0.913,68.6,0.714,-0.055,0.92
Kuwait,Middle East and North Africa,2021,10.817,0.843,66.9,0.867,-0.104,0.736
Nigeria,Sub-Saharan Africa,2012,8.543,0.818,47.12,0.652,0.066,0.9
New Zealand,North America and ANZ,2012,10.553,0.93,72.24,0.902,0.287,0.289
Honduras,Latin America and Caribbean,2019,8.653,0.797,67.4,0.846,0.063,0.815
Jamaica,Latin America and Caribbean,2013,9.151,0.865,66.46,0.793,-0.021,0.931
Armenia,Commonwealth of Independent States,2013,9.277,0.723,65.68,0.504,-0.195,0.9
Honduras,Latin America and Caribbean,2016,8.593,0.774,66.8,0.85,0.08,0.793
Bolivia,Latin America and Caribbean,2015,8.985,0.829,62.7,0.884,-0.03,0.862
Chad,Sub-Saharan Africa,2019,7.365,0.64,48.7,0.537,0.055,0.832
France,Western Europe,2009,10.639,0.918,72.02,0.798,-0.082,0.654
Pakistan,South Asia,2010,8.27,0.571,56.2,0.364,0.3,0.852
Mali,Sub-Saharan Africa,2012,7.605,0.823,49.12,0.704,-0.088,0.787
Dominican Republic,Latin America and Caribbean,2021,9.802,0.853,66.102,0.86,-0.133,0.714
Burkina Faso,Sub-Saharan Africa,2013,7.546,0.745,51.32,0.741,-0.016,0.765
Myanmar,Southeast Asia,2021,8.541,0.779,59.302,0.876,0.509,0.66
Uganda,Sub-Saharan Africa,2007,7.419,0.845,47.46,0.708,-0.001,0.881
South Korea,East Asia,2020,10.648,0.808,74.2,0.711,-0.106,0.665
Nicaragua,Latin America and Caribbean,2015,8.636,0.827,66.6,0.809,0.077,0.728
Laos,Southeast Asia,2006,8.251,0.807,53.92,0.925,0.439,0.688
Czech Republic,Central and Eastern Europe,2017,10.558,0.901,69.8,0.832,-0.177,0.867
North Macedonia,Central and Eastern Europe,2021,9.693,0.805,65.474,0.751,0.038,0.905
Netherlands,Western Europe,2010,10.864,0.957,71.4,0.921,0.349,0.399
Mongolia,East Asia,2020,9.396,0.918,62.7,0.718,0.141,0.843
India,South Asia,2006,8.145,0.707,55.72,0.774,0.011900000000000003,0.855
Zimbabwe,Sub-Saharan Africa,2018,8.049,0.775,55.6,0.763,-0.068,0.844
Egypt,Middle East and North Africa,2011,9.24,0.753,60.16,0.59,-0.151,0.859
South Korea,East Asia,2011,10.475,0.809,71.66,0.682,-0.048,0.827
Uzbekistan,Commonwealth of Independent States,2008,8.339,0.894,62.32,0.831,-0.023,0.5024285714285714
Guatemala,Latin America and Caribbean,2007,8.891,0.866,61.08,0.628,0.136,0.81
Moldova,Commonwealth of Independent States,2018,9.423,0.892,65.0,0.824,-0.084,0.929
Zambia,Sub-Saharan Africa,2021,8.145,0.708,55.809,0.782,0.061,0.823
Uganda,Sub-Saharan Africa,2017,7.638,0.74,55.3,0.772,0.06,0.816
Kyrgyzstan,Commonwealth of Independent States,2007,8.258,0.833,60.26,0.684,-0.091,0.929
Uzbekistan,Commonwealth of Independent States,2012,8.55,0.933,63.6,0.914,-0.037,0.463
Mauritania,Sub-Saharan Africa,2011,8.481,0.75,54.82,0.567,0.052,0.747
Ecuador,Latin America and Caribbean,2020,9.244,0.804,69.1,0.829,-0.157,0.855
Saudi Arabia,Middle East and North Africa,2005,10.699,0.868,63.5,0.7522307692307694,-0.10615384615384614,0.505
Kuwait,Middle East and North Africa,2009,11.065,0.926,64.44,0.819,0.007,0.675
United Kingdom,Western Europe,2017,10.736,0.937,72.1,0.813,0.291,0.419
